,Name,Latitude,Longitude
0,1,40.1815586220001,-111.616408998
1,2,40.358402761,-111.740767813
2,3,40.2883651610001,-111.690896506
3,4,40.305800645,-111.724305015
4,5,40.3250412950001,-111.70751984
5,6,40.3245562990001,-111.707291479
6,7,40.295024235,-111.724170901
7,8,40.236220072,-111.687913656
8,9,39.974805862,-111.776789276
9,10,40.172373899,-111.616630155
10,11,40.1597365710001,-111.611398891
11,12,40.2194562940001,-111.667337239
12,13,40.221683469,-111.665509812
13,14,40.047062059,-111.716627883
14,15,39.9578963010001,-111.900133377
15,16,40.369364815,-111.795327549
16,17,40.3704455130001,-111.798512535
17,18,40.403436684,-111.855209461
18,19,40.378952944,-111.812025325
19,20,40.4012594770001,-111.852716976
20,21,40.308106251,-111.6999801
21,22,40.304010497,-111.724256494
22,23,40.2218619290001,-111.664749575
23,24,40.2404042690001,-111.682341887
24,25,39.9772538490001,-111.794161524
25,26,40.2183551570001,-111.642938048
26,27,40.0497040000001,-111.740082
27,28,40.146679894,-111.602729029
28,29,40.035412336,-111.745708886
29,30,40.1522664940001,-111.603503872
30,31,40.1791587010001,-111.609142141
31,32,40.031407829,-111.734691409
